DATE,STLFSI4,
1993-12-31,-0.3262,0
1994-01-07,-0.4142,0
1994-01-14,-0.114,0
1994-01-21,-0.3895,0
1994-01-28,-0.2519,0
1994-02-04,-0.5592,0
1994-02-11,-0.3755,0
1994-02-18,-0.3467,0
1994-02-25,-0.3458,0
1994-03-04,-0.2685,0
1994-03-11,-0.2769,0
1994-03-18,-0.1904,0
1994-03-25,-0.2831,0
1994-04-01,-0.1866,0
1994-04-08,-0.1757,0
1994-04-15,-0.0516,0
1994-04-22,-0.2395,0
1994-04-29,-0.104,0
1994-05-06,-0.4446,0
1994-05-13,-0.2171,0
1994-05-20,-0.0263,0
1994-05-27,-0.2334,0
1994-06-03,-0.0739,0
1994-06-10,0.0329,0
1994-06-17,-0.2445,0
1994-06-24,-0.1485,0
1994-07-01,-0.2105,0
1994-07-08,-0.0417,0
1994-07-15,-0.1261,0
1994-07-22,-0.0823,0
1994-07-29,-0.2488,0
1994-08-05,-0.1323,0
1994-08-12,-0.3624,0
1994-08-19,-0.3533,0
1994-08-26,-0.3483,0
1994-09-02,-0.2196,0
1994-09-09,-0.3425,0
1994-09-16,-0.3354,0
1994-09-23,-0.3766,0
1994-09-30,-0.2542,0
1994-10-07,-0.2793,0
1994-10-14,-0.0241,0
1994-10-21,-0.2094,0
1994-10-28,-0.2744,0
1994-11-04,-0.2208,0
1994-11-11,-0.2898,0
1994-11-18,-0.4371,0
1994-11-25,-0.2277,0
1994-12-02,-0.2251,0
1994-12-09,-0.2049,0
1994-12-16,-0.2473,0
1994-12-23,-0.1994,0
1994-12-30,-0.0694,0
1995-01-06,-0.3088,0
1995-01-13,-0.0598,0
1995-01-20,-0.3524,0
1995-01-27,-0.3711,0
1995-02-03,-0.3452,0
1995-02-10,-0.4493,0
1995-02-17,-0.2307,0
1995-02-24,-0.2443,0
1995-03-03,-0.2,0
1995-03-10,-0.1727,0
1995-03-17,-0.1936,0
1995-03-24,-0.3813,0
1995-03-31,-0.4619,0
1995-04-07,-0.3217,0
1995-04-14,-0.289,0
1995-04-21,-0.2366,0
1995-04-28,-0.4418,0
1995-05-05,-0.2829,0
1995-05-12,-0.126,0
1995-05-19,-0.3554,0
1995-05-26,-0.3164,0
1995-06-02,-0.0498,0
1995-06-09,-0.2107,0
1995-06-16,-0.1833,0
1995-06-23,-0.1496,0
1995-06-30,-0.2879,0
1995-07-07,-0.2533,0
1995-07-14,-0.1332,0
1995-07-21,-0.5032,0
1995-07-28,-0.3105,0
1995-08-04,-0.2535,0
1995-08-11,-0.2799,0
1995-08-18,-0.4022,0
1995-08-25,-0.2254,0
1995-09-01,-0.1267,0
1995-09-08,-0.2363,0
1995-09-15,-0.3361,0
1995-09-22,-0.3044,0
1995-09-29,-0.4368,0
1995-10-06,-0.054,0
1995-10-13,-0.2313,0
1995-10-20,-0.1977,0
1995-10-27,-0.1674,0
1995-11-03,-0.2019,0
1995-11-10,-0.3366,0
1995-11-17,-0.337,0
1995-11-24,-0.4706,0
1995-12-01,-0.3008,0
1995-12-08,-0.3691,0
1995-12-15,-0.4295,0
1995-12-22,-0.3186,0
1995-12-29,-0.0468,0
1996-01-05,-0.4603,0
1996-01-12,-0.2309,0
1996-01-19,-0.2025,0
1996-01-26,-0.4106,0
1996-02-02,-0.3692,0
1996-02-09,-0.285,0
1996-02-16,-0.2653,0
1996-02-23,-0.5294,0
1996-03-01,-0.4544,0
1996-03-08,-0.069,0
1996-03-15,-0.329,0
1996-03-22,-0.1619,0
1996-03-29,-0.1213,0
1996-04-05,-0.1638,0
1996-04-12,-0.1602,0
1996-04-19,0.0113,0
1996-04-26,-0.2187,0
1996-05-03,-0.2549,0
1996-05-10,-0.1537,0
1996-05-17,-0.1741,0
1996-05-24,-0.259,0
1996-05-31,-0.3348,0
1996-06-07,-0.2681,0
1996-06-14,-0.2431,0
1996-06-21,-0.2171,0
1996-06-28,-0.0443,0
1996-07-05,-0.4258,0
1996-07-12,-0.02,0
1996-07-19,0.0055,0
1996-07-26,-0.116,0
1996-08-02,-0.2007,0
1996-08-09,0.1366,0
1996-08-16,-0.2847,0
1996-08-23,-0.321,0
1996-08-30,-0.4003,0
1996-09-06,-0.2237,0
1996-09-13,-0.1532,0
1996-09-20,-0.1857,0
1996-09-27,-0.085,0
1996-10-04,-0.084,0
1996-10-11,-0.0819,0
1996-10-18,-0.1653,0
1996-10-25,-0.2196,0
