DATE,T10Y3M
1993-12-31,2.676
1994-01-07,2.72
1994-01-14,2.654
1994-01-21,2.7125
1994-01-28,2.75
1994-02-04,2.642
1994-02-11,2.614
1994-02-18,2.606
1994-02-25,2.7175
1994-03-04,2.736
1994-03-11,2.804
1994-03-18,2.842
1994-03-25,2.936
1994-04-01,3.15
1994-04-08,3.272
1994-04-15,3.272
1994-04-22,3.192
1994-04-29,2.99
1994-05-06,3.004
1994-05-13,3.056
1994-05-20,2.776
1994-05-27,2.838
1994-06-03,2.82
1994-06-10,2.74
1994-06-17,2.85
1994-06-24,2.886
1994-07-01,2.994
1994-07-08,2.9225
1994-07-15,2.866
1994-07-22,2.808
1994-07-29,2.75
1994-08-05,2.676
1994-08-12,2.786
1994-08-19,2.528
1994-08-26,2.58
1994-09-02,2.514
1994-09-09,2.645
1994-09-16,2.716
1994-09-23,2.7
1994-09-30,2.82
1994-10-07,2.65
1994-10-14,2.59
1994-10-21,2.626
1994-10-28,2.698
1994-11-04,2.69
1994-11-11,2.6175
1994-11-18,2.47
1994-11-25,2.4325
1994-12-02,2.192
1994-12-09,1.902
1994-12-16,1.99
1994-12-23,2.176
1994-12-30,2.115
1995-01-06,1.9675
1995-01-13,1.962
1995-01-20,1.8575
1995-01-27,1.832
1995-02-03,1.614
1995-02-10,1.592
1995-02-17,1.562
1995-02-24,1.48
1995-03-03,1.342
1995-03-10,1.404
1995-03-17,1.182
1995-03-24,1.258
1995-03-31,1.288
1995-04-07,1.228
1995-04-14,1.26
1995-04-21,1.244
1995-04-28,1.174
1995-05-05,1.094
1995-05-12,0.834
1995-05-19,0.718
1995-05-26,0.612
1995-06-02,0.5075
1995-06-09,0.468
1995-06-16,0.558
1995-06-23,0.512
1995-06-30,0.58
1995-07-07,0.515
1995-07-14,0.538
1995-07-21,0.766
1995-07-28,0.854
1995-08-04,0.89
1995-08-11,0.936
1995-08-18,0.96
1995-08-25,0.944
1995-09-01,0.838
1995-09-08,0.7025
1995-09-15,0.686
1995-09-22,0.802
1995-09-29,0.85
1995-10-06,0.62
1995-10-13,0.5875
1995-10-20,0.556
1995-10-27,0.652
1995-11-03,0.508
1995-11-10,0.428
1995-11-17,0.414
1995-11-24,0.4175
1995-12-01,0.324
1995-12-08,0.198
1995-12-15,0.322
1995-12-22,0.62
1995-12-29,0.5975
1996-01-05,0.435
1996-01-12,0.558
1996-01-19,0.455
1996-01-26,0.526
